"","park_area_id","facility__Name","facility__Location","facility__Zip","ADDRESS_Ext","lon","lat","district"
"123","X136","Harris Park","Paul Ave. - Goulden Ave. bet. Bedford Par","10468","Harris Park,New York, NY,10468",-73.8919615,40.8763638,"Bronx"
"124","X040","Poe Park","Grand Concourse bet. E. 192 St. and E. K","10458","Poe Park,New York, NY,10458",-73.8945473,40.8648137,"Bronx"
"125","M125C","West 4th Street Courts","Ave. Of Americas, W. 3 St. and W. 4 St.","10012","West 4th Street Courts,New York, NY,10012",-74.0009436,40.731376,"Manhattan"
"126","Q092","Police Officer Edward Byrne Park","N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.","11420","Police Officer Edward Byrne Park,New York, NY,11420",-73.807361,40.667336,"Queens"
"127","Q133A","Hempstead Ballfield","Hempstead Ave. bet. Cross Is. Pkwy. and 225 St.","11429","Hempstead Ballfield,New York, NY,11429",-73.7286786,40.7107972,"Queens"
"128","M058","Marcus Garvey Park","Madison Ave, E. 120 St. to E. 124 St.","10027","Marcus Garvey Park,New York, NY,10027",-73.9437629,40.8044257,"Manhattan"
"129","B214","Linden Park","Vermont St. bet. Linden Blvd. and Stanley Ave.","11207","Linden Park,New York, NY,11207",-73.8871125,40.6589543,"Brooklyn"
"130","Q012B","John Golden Park","215 Pl., Cross Island Pkwy. bet. 31 Rd. and 33 Ave.","11360, 11361","John Golden Park,New York, NY,11360, 11361",-73.767643,40.7742982,"Queens"
"131","B367","Livonia Park","Livonia Ave. between Powell St. and Junius St.","11212","Livonia Park,New York, NY,11212",-73.9019951,40.664018,"Brooklyn"
"132","B129","Kaiser Park","Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.","11224","Kaiser Park,New York, NY,11224",-73.9956557,40.5790202,"Brooklyn"
"133","M076","St. Vartan Park","1 Ave.,2 Ave., bet. E. 35 St. and E. 36 St.","10016","St. Vartan Park,New York, NY,10016",-73.9736293,40.7451124,"Manhattan"
"134","M391","East River Waterfront Esplanade","FDR Drive bet. Broad St. and Clinton St.-Pier 36","10002, 10004, 10038","East River Waterfront Esplanade,New York, NY,10002, 10004, 10038",-73.9625438,40.7621183,"Manhattan"
"135","B016","Maria Hernandez Park","Irving Ave., Kinickerbocker Ave. bet. Starr St. and Suydam St.","11237","Maria Hernandez Park,New York, NY,11237",-73.9238611,40.7031282,"Brooklyn"
"136","Q162E","Beach 59th St Playground","Rockaway Boardwalk bet. B. 60 St. and B. 59 St.","11692","Beach 59th St Playground,New York, NY,11692",-73.7890806,40.5891417,"Queens"
"137","M035","Colonel Charles Young Triangle","7 Ave., Macombs Pl., At W. 153 St.","10039","Colonel Charles Young Triangle,New York, NY,10039",-73.9357984,40.8272148,"Manhattan"
"138","M022","De Witt Clinton Park","W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.","10019","De Witt Clinton Park,New York, NY,10019",-73.9942897,40.7680708,"Manhattan"
"139","R030","Willowbrook Park","Richmond Ave., Victory Blvd., Ashworth Ave., and Forest Hill Rd.","10314","Willowbrook Park,New York, NY,10314",-74.1581129,40.6005621,"Staten Island"
"140","Q414","Rocket Playground","N Conduit Ave. and 149 Ave.bet. Whitelaw St. and Lafayette St.","11417","Rocket Playground,New York, NY,11417",-73.8461872,40.6706222,"Queens"
"141","Q476","College Point Fields","130 St. bet., 23rd Ave. and 26 Ave.","11354, 11356","College Point Fields,New York, NY,11354, 11356",-73.8376269,40.777747,"Queens"
"142","Q205A","Big Bush Playground","Laurel Hill Blvd. bet. 61 St. and 64 St.","11377","Big Bush Playground,New York, NY,11377",-73.9027167,40.7394722,"Queens"
"143","XZ189",NA,NA,NA,"NA,New York, NY,NA",-74.0081611,40.732343,"Bronx"
"144","Q437","Murray Hill Playground","Murray St. bet. Barclay Ave. and Sanford Ave.","11355","Murray Hill Playground,New York, NY,11355",-73.8118785,40.7616241,"Queens"
"145","M353","Riverside Park South","12 Ave., Riverside Blvd. bet. W. 59 St. and W. 72 St.","10019, 10023","Riverside Park South,New York, NY,10019, 10023",-73.9895416,40.7772489,"Manhattan"
"146","R038A","Midland Field","Midland Ave., Mason Ave., Bedford Ave., Boundary Ave.","10306","Midland Field,New York, NY,10306",-74.098669,40.5762928,"Staten Island"
"147","M104","Randall's Island Park","East River and Harlem River","10035","Randall's Island Park,New York, NY,10035",-73.922517,40.795813,"Manhattan"
"148","R019","Veterans Park","Heberton Ave., Park Ave., Bennett St., Vreeland St.","10302","Veterans Park,New York, NY,10302",-74.1317793,40.6371956,"Staten Island"
