ZIPCODE,borough,Neighbourhood,cases,perc_pos,LAT_repre,LNG_repre
11232,Brooklyn,Sunset Park,569,17.96,40.656546,-74.007355
11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,1314,19.41,40.678308,-73.919936
11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,2288,21.63,40.60508,-73.911721
11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,2099,18.78,40.583949,-73.949096
11236,Brooklyn,Canarsie,2823,24.23,40.639413,-73.900664
11237,Brooklyn,Bushwick/East Williamsburg,1017,16.54,40.70416,-73.921139
11238,Brooklyn,Clinton Hill/Prospect Heights,817,11.29,40.679171,-73.963804
11239,Brooklyn,East New York,531,22.17,40.647735,-73.879477
11354,Queens,Flushing/Murray Hill,1264,15.89,40.768208,-73.827403
11355,Queens,Flushing/Murray Hill/Queensboro Hill,1383,17.24,40.751452,-73.821031
11356,Queens,College Point,582,20.74,40.78485,-73.841279
11357,Queens,Whitestone,839,17.22,40.786393,-73.810864
11358,Queens,Auburndale/Murray Hill,596,14.56,40.760471,-73.796371
11360,Queens,Bayside (North),327,13.65,40.780379,-73.78123
11361,Queens,Bayside (North)/Bayside (South),466,15.01,40.764191,-73.772775
11362,Queens,Douglaston-Little Neck,331,15.84,40.756574,-73.737845
11363,Queens,Douglaston-Little Neck,100,14.18,40.772616,-73.746526
11364,Queens,Bayside (South)/Oakland Gardens,472,13.96,40.745289,-73.760586
11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,864,16.91,40.739634,-73.79449
11366,Queens,Fresh Meadows/Hillcrest,400,22.77,40.728152,-73.785019
11367,Queens,Kew Gardens Hills/Pomonok,1057,20.33,40.730145,-73.82703
11368,Queens,Corona/North Corona,4757,26.06,40.751718,-73.851822
11369,Queens,Airport/East Elmhurst,1647,27.54,40.763365,-73.872374
11370,Queens,Jackson Heights/Rikers Island,1362,26.19,40.765393,-73.893243
11372,Queens,Jackson Heights,2623,23.66,40.75169,-73.883638
11373,Queens,Elmhurst,3323,22.82,40.738837,-73.878535
11374,Queens,Rego Park,1096,19.94,40.726418,-73.861526
11375,Queens,Forest Hills,1517,18.15,40.720934,-73.846151
11377,Queens,Woodside,2335,18.56,40.744819,-73.905156
11378,Queens,Maspeth,764,17.75,40.724744,-73.909639
11379,Queens,Middle Village,840,18.49,40.716748,-73.879601
11385,Queens,Glendale/Ridgewood,2242,20.01,40.700671,-73.889433
11411,Queens,Cambria Heights,700,27.02,40.694021,-73.736216
11412,Queens,St. Albans,1269,26.07,40.698095,-73.758986
11413,Queens,Laurelton/Rosedale,1344,26.14,40.671659,-73.752568
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,811,24.86,40.657604,-73.844804
11415,Queens,Kew Gardens,544,20.63,40.707917,-73.828212
11416,Queens,Ozone Park,734,24.78,40.684654,-73.849548
11417,Queens,Ozone Park,907,23.01,40.676446,-73.844443
11418,Queens,Richmond Hill,1144,23.76,40.700272,-73.835971
11419,Queens,Richmond Hill/South Ozone Park,1235,24.8,40.688673,-73.822918
11420,Queens,South Ozone Park,1392,25.25,40.673583,-73.81773
11421,Queens,Woodhaven,1225,24.13,40.694062,-73.858626
11422,Queens,Rosedale,1010,25.04,40.66006,-73.736012
11423,Queens,Hollis/Holliswood,1103,26.19,40.715606,-73.768471
