"","DATE","mobility","ratio"
"331","2020-06-01","walking",0.487380330722367
"332","2020-06-02","walking",0.470747509912001
"333","2020-06-03","walking",0.417947974083744
"334","2020-06-04","walking",0.50024175611643
"335","2020-06-05","walking",0.472101344164007
"336","2020-06-06","walking",0.567063146697611
"337","2020-06-07","walking",0.501595590368436
"338","2020-06-08","walking",0.518131708732231
"339","2020-06-09","walking",0.555458853108984
"340","2020-06-10","walking",0.533120587950875
"341","2020-06-11","walking",0.463204719079393
"342","2020-06-12","walking",0.654868968184895
"343","2020-06-13","walking",0.659413983173774
"344","2020-06-14","walking",0.523063533507398
"345","2020-06-15","walking",0.539019437191761
"346","2020-06-16","walking",0.580117976984818
"347","2020-06-17","walking",0.573252103278213
"348","2020-06-18","walking",0.574896044869935
"349","2020-06-19","walking",0.738419882023015
"350","2020-06-20","walking",0.663958998162653
"351","2020-06-21","walking",0.49008799922638
"352","2020-06-22","walking",0.599941978532057
"353","2020-06-23","walking",0.647519582245431
"354","2020-06-24","walking",0.638622957160816
"355","2020-06-25","walking",0.660187602746349
"356","2020-06-26","walking",0.767817425780872
"357","2020-06-27","walking",0.650323953196016
"358","2020-06-28","walking",0.573445508171357
"359","2020-06-29","walking",0.645005318634561
"360","2020-06-30","walking",0.631757083454211
