encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
2020-03-27 11:18:40,Q099-20,Q-15,Queens,8,True,Did not approach the crowd; the crowd remains,
2020-03-27 11:28:25,B061,B-02,Brooklyn,15,True,Did not approach the crowd; the crowd remains,
2020-03-27 11:43:52,Q172,Q-04,Queens,4,False,Approached the crowd; they ignored the employee,
2020-03-27 11:50:57,M140-01,M-14,Manhattan,4,True,Approached the crowd; they complied with instructions,
2020-03-27 12:05:50,X068,X-06,Bronx,4,False,Did not approach the crowd; the crowd remains,
2020-03-27 12:15:54,X174,X-06,Bronx,4,True,Did not approach the crowd; the crowd remains,
2020-03-27 12:33:50,X058,X-04,Bronx,12,False,Did not approach the crowd; the crowd remains,
2020-03-27 12:47:13,Q162E,Q-14,Queens,4,True,Approached the crowd; they ignored the employee,
2020-03-27 12:48:03,R046-ZN01,R-02B,Staten Island,8,False,Approached the crowd; they ignored the employee,
2020-03-27 12:48:36,M077-04,M-09,Manhattan,3,False,Approached the crowd; they complied with instructions,
2020-03-27 12:53:35,Q099-15,Q-15,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-27 13:07:11,Q099-20,Q-15,Queens,26,True,Did not approach the crowd; the crowd remains,
2020-03-27 13:09:50,X002-ZN03,X-14,Bronx,10,False,Approached the crowd; they ignored the employee,
2020-03-27 13:12:29,M220,M-07,Manhattan,5,True,Approached the crowd; they ignored the employee,
2020-03-27 13:12:38,M029-01,M-12,Manhattan,25,True,Approached the crowd; they ignored the employee,
2020-03-27 13:13:18,X166,X-03,Bronx,6,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:14:22,R046-ZN01,R-02B,Staten Island,5,False,Approached the crowd; they ignored the employee,
2020-03-27 13:17:06,Q099-ZN06,Q-15,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-27 13:23:41,R129-01,R-02,Staten Island,12,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:34:21,Q004-ZN01,Q-01,Queens,50,True,Approached the crowd; they ignored the employee,
2020-03-27 13:42:41,Q099-ZN12,Q-15,Queens,11,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:43:10,Q099-ZN13,Q-15,Queens,6,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:44:17,R065-ZN09,R-02,Staten Island,27,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:45:27,X156,X-11,Bronx,5,False,Approached the crowd; they complied with instructions,
2020-03-27 13:49:12,R075A,R-02,Staten Island,9,False,Did not approach the crowd; the crowd remains,
2020-03-27 13:49:41,Q220G,Q-08,Queens,4,True,Approached the crowd; they ignored the employee,
2020-03-27 13:52:33,Q407,Q-14,Queens,8,True,Approached the crowd; they ignored the employee,
2020-03-27 13:56:30,Q162J,Q-14,Queens,30,True,Approached the crowd; they ignored the employee,
2020-03-27 13:58:19,X202,X-08,Bronx,10,False,Approached the crowd; they ignored the employee,
2020-03-27 13:59:03,X092-ZN06,X-13,Bronx,8,False,Approached the crowd; they ignored the employee,
2020-03-27 14:06:33,X232,X-11,Bronx,20,False,Approached the crowd; they ignored the employee,
2020-03-27 14:09:18,M015,M-01,Manhattan,20,False,Approached the crowd; they ignored the employee,
2020-03-27 14:09:50,Q162E,Q-14,Queens,5,True,Approached the crowd; they complied with instructions,
2020-03-27 14:10:23,X039-ZN11,X-15A,Bronx,30,False,Did not approach the crowd; the crowd remains,
