date,borough,cases
2020-06-28,Kings,58
2020-06-28,Bronx,35
2020-06-28,New York,41
2020-06-28,Queens,58
2020-06-28,Richmond,11
2020-06-29,Kings,127
2020-06-29,Bronx,75
2020-06-29,New York,80
2020-06-29,Queens,133
2020-06-29,Richmond,23
2020-06-30,Kings,127
2020-06-30,Bronx,77
2020-06-30,New York,96
2020-06-30,Queens,112
2020-06-30,Richmond,29
